gene,mean_expression
HNRNPH3,0.37046775
NDUFAB1,0.37029245
NPDC1,0.3696164
CYR61,0.36858973
CDX1,0.36838943
SMDT1,0.36833933
FLRT2,0.36778846
ADH5,0.3674379
FBL,0.36708733
CBX3,0.3669371
RNF7,0.36578527
PSMA7,0.36573517
PSMB5,0.3655098
CTSC,0.36473358
CARMN,0.36430788
AEBP1,0.36420774
TXNDC17,0.36350662
ERP29,0.36330628
ACTR2,0.3629307
ANO9,0.36263022
HSPA1A,0.36222956
MEP1A,0.36215445
MDH1,0.36190405
ANP32B,0.36170372
DAD1,0.3609275
EHBP1L1,0.3607522
TMED9,0.36072716
ATP6V1G1,0.35997596
AKR1A1,0.3599259
CAV1,0.35957533
LAMTOR1,0.35955027
BRK1,0.35922477
TUBB2A,0.3589994
SERP1,0.358749
PSMB7,0.3586989
LSM4,0.3581981
CPNE1,0.3579978
GDI1,0.35772234
COL14A1,0.3576222
SURF4,0.35752204
XRCC5,0.35742188
MRPL52,0.35722154
TDP2,0.35652044
IMPDH2,0.35647035
LRRC75A,0.35584435
EIF3B,0.35519332
POLR2J,0.3551182
DCTN2,0.35501802
EGFL7,0.35501802
EWSR1,0.3548678
EVL,0.3542418
MST1,0.353741
S100A13,0.35354066
UQCRC2,0.35351562
ECHS1,0.35334036
KHDRBS1,0.35303986
MAPK3,0.3528145
ANXA11,0.35196313
RHOT2,0.35128707
NISCH,0.35083634
NPTN,0.3505609
PPP1CC,0.35033554
VAPA,0.3502604
EIF4G1,0.34973457
CPE,0.3496845
ST6GALNAC1,0.34958434
INTS11,0.34935898
PSMB6,0.3493089
EIF3G,0.34923378
RSRP1,0.34910858
TP53I3,0.34905848
CENPX,0.34903345
LASP1,0.34898338
CRIP2,0.34815705
C1S,0.34775642
BANF1,0.34770632
SUCLG1,0.34748098
PGLS,0.34572816
SCP2,0.345628
PENK,0.3449269
LCN2,0.34432593
MIR194-2HG,0.34332433
CALU,0.34327424
C8orf59,0.3431991
ADAMDEC1,0.34279847
GNG11,0.34272337
ANXA6,0.34254807
SNRPE,0.34229767
TMEM176A,0.3419471
HIF3A,0.34192207
BCL7C,0.34192207
MPRIP,0.34122095
MYH14,0.3411959
TTYH3,0.34079528
PRKCSH,0.34061998
VEGFA,0.3405699
MRPL51,0.3405699
FSCN1,0.34001902
ZNF207,0.33979368
CLIC4,0.33976862
MAP4,0.33961838
TMEM219,0.33951822
TNS3,0.33929285
TUBA1C,0.33881712
CYSTM1,0.3383664
TMBIM1,0.33791566
SYNGR2,0.33751503
STK25,0.33738983
COPZ1,0.33728966
FBN2,0.33653846
HBB,0.3360627
PDGFRB,0.33591247
LITAF,0.33588743
SLC38A2,0.33586237
RHOB,0.33546174
ENTPD6,0.33521134
SEC31A,0.335011
ABR,0.3348858
SNHG7,0.3347606
PDGFRA,0.33415964
NAPRT,0.3338091
PDCD6,0.33365884
IST1,0.33353364
ADD3,0.33333334
MARCH6,0.33323318
XPO1,0.3330078
VPS51,0.3326322
LAMP1,0.33245692
SF3B2,0.33225662
NDUFA12,0.33208132
SYNPO2,0.33203125
HMGCS1,0.33200622
TOMM20,0.3316807
ACSS2,0.33135515
CPSF1,0.33097956
MT1X,0.33065405
ATP6V0E1,0.33057892
CNN3,0.3301282
CCT7,0.3301282
MAP1B,0.3299279
NT5C,0.3298027
KANK2,0.32977766
WASF2,0.32840043
CAVIN1,0.32835037
PAPOLA,0.328125
SEMA3B,0.32802483
YWHAH,0.32722357
PCSK1N,0.32704827
LAMA5,0.32684797
CEBPD,0.32652244
RBM6,0.32617188
TRPM4,0.32614684
LINC01082,0.3259966
APEX1,0.32577124
LRPAP1,0.32567108
IVNS1ABP,0.32552084
POLR2E,0.3254457
PPP1R12C,0.3249449
GABARAPL2,0.32444412
ACADS,0.32419372
DDAH2,0.32384315
EIF3I,0.32351762
ATP6V1F,0.32344252
TXNL4A,0.32334235
TIMP3,0.32331732
SPCS1,0.32321715
FKBP9,0.32304186
VDAC1,0.32276642
PRSS3,0.32264122
HADH,0.32234076
TIMM8B,0.32226562
TAX1BP3,0.3222406
EFEMP2,0.32216546
HTRA3,0.32163963
RBPMS,0.32146433
RAB7A,0.3210637
ASAH1,0.32078826
ARL6IP1,0.32071313
TBCB,0.3205629
CTBP1,0.32041267
RBM8A,0.3196364
PRRC2B,0.31961137
ALDH2,0.3190104
FGD5-AS1,0.31891027
DUT,0.31833434
GSTO1,0.31778345
LSR,0.31755808
RNH1,0.31745794
ASL,0.31715745
